------------------------------------------------------------
Server listening on UDP port 50
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.1 port 50 connected with 10.0.0.2 port 46059
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   237 KBytes  1.94 Mbits/sec   1.972 ms   42/  207 (20%)
[  3]  1.0- 2.0 sec   233 KBytes  1.91 Mbits/sec   5.039 ms   49/  211 (23%)
[  3]  2.0- 3.0 sec   230 KBytes  1.88 Mbits/sec   1.892 ms   55/  215 (26%)
[  3]  3.0- 4.0 sec   208 KBytes  1.71 Mbits/sec   5.613 ms   65/  210 (31%)
[  3]  4.0- 5.0 sec   234 KBytes  1.92 Mbits/sec   1.829 ms   52/  215 (24%)
[  3]  5.0- 6.0 sec   214 KBytes  1.75 Mbits/sec   3.910 ms   63/  212 (30%)
[  3]  6.0- 7.0 sec   212 KBytes  1.74 Mbits/sec   3.649 ms   64/  212 (30%)
[  3]  7.0- 8.0 sec   215 KBytes  1.76 Mbits/sec   3.122 ms   63/  213 (30%)
[  3]  8.0- 9.0 sec   214 KBytes  1.75 Mbits/sec   2.856 ms   64/  213 (30%)
[  3]  9.0-10.0 sec   215 KBytes  1.76 Mbits/sec   3.769 ms   63/  213 (30%)
[  3] 10.0-11.0 sec   145 KBytes  1.19 Mbits/sec   6.594 ms   83/  184 (45%)
[  3] 11.0-12.0 sec   179 KBytes  1.47 Mbits/sec   5.380 ms  112/  237 (47%)
[  3] 12.0-13.0 sec   162 KBytes  1.33 Mbits/sec   5.962 ms  103/  216 (48%)
[  3] 13.0-14.0 sec   152 KBytes  1.25 Mbits/sec   7.749 ms  104/  210 (50%)
[  3] 14.0-15.0 sec   135 KBytes  1.11 Mbits/sec   6.436 ms  120/  214 (56%)
[  3] 15.0-16.0 sec   161 KBytes  1.32 Mbits/sec   5.519 ms  102/  214 (48%)
[  3] 16.0-17.0 sec   161 KBytes  1.32 Mbits/sec   6.535 ms  100/  212 (47%)
[  3] 17.0-18.0 sec   161 KBytes  1.32 Mbits/sec   6.560 ms   98/  210 (47%)
[  3] 18.0-19.0 sec   142 KBytes  1.16 Mbits/sec   8.409 ms  117/  216 (54%)
[  3] 18.0-19.0 sec  1 datagrams received out-of-order
[  3] 19.0-20.0 sec   158 KBytes  1.29 Mbits/sec   6.089 ms   93/  203 (46%)
[  3] 20.0-21.0 sec   152 KBytes  1.25 Mbits/sec   8.415 ms  110/  216 (51%)
[  3] 21.0-22.0 sec   161 KBytes  1.32 Mbits/sec   5.513 ms  102/  214 (48%)
[  3] 22.0-23.0 sec   161 KBytes  1.32 Mbits/sec   5.154 ms  102/  214 (48%)
[  3] 23.0-24.0 sec   162 KBytes  1.33 Mbits/sec   5.419 ms  102/  215 (47%)
[  3] 24.0-25.0 sec   158 KBytes  1.29 Mbits/sec   5.778 ms  101/  211 (48%)
[  3] 25.0-26.0 sec   154 KBytes  1.26 Mbits/sec   7.933 ms  106/  213 (50%)
[  3] 26.0-27.0 sec   144 KBytes  1.18 Mbits/sec   9.052 ms  113/  213 (53%)
[  3] 27.0-28.0 sec   159 KBytes  1.31 Mbits/sec   7.628 ms  102/  213 (48%)
[  3] 28.0-29.0 sec   161 KBytes  1.32 Mbits/sec   6.181 ms  100/  212 (47%)
[  3] 29.0-30.0 sec   161 KBytes  1.32 Mbits/sec   6.032 ms   98/  210 (47%)
[  3] 30.0-31.0 sec   159 KBytes  1.31 Mbits/sec   6.537 ms  104/  215 (48%)
[  3] 31.0-32.0 sec   155 KBytes  1.27 Mbits/sec   5.596 ms  101/  209 (48%)
[  3] 32.0-33.0 sec   161 KBytes  1.32 Mbits/sec   6.395 ms  103/  215 (48%)
[  3] 33.0-34.0 sec   162 KBytes  1.33 Mbits/sec   5.705 ms  102/  215 (47%)
[  3] 34.0-35.0 sec   159 KBytes  1.31 Mbits/sec   5.454 ms  101/  212 (48%)
[  3] 35.0-36.0 sec   161 KBytes  1.32 Mbits/sec   6.494 ms  101/  213 (47%)
[  3] 36.0-37.0 sec   158 KBytes  1.29 Mbits/sec   5.468 ms   97/  207 (47%)
[  3] 37.0-38.0 sec   164 KBytes  1.34 Mbits/sec   5.145 ms  102/  216 (47%)
[  3] 38.0-39.0 sec   162 KBytes  1.33 Mbits/sec   5.257 ms  103/  216 (48%)
[  3] 39.0-40.0 sec   159 KBytes  1.31 Mbits/sec   6.158 ms  100/  211 (47%)
