------------------------------------------------------------
Server listening on UDP port 60
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.1 port 60 connected with 10.0.0.3 port 38407
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   112 KBytes   917 Kbits/sec   6.323 ms  117/  195 (60%)
[  3]  1.0- 2.0 sec   119 KBytes   976 Kbits/sec   5.637 ms  134/  217 (62%)
[  3]  2.0- 3.0 sec   121 KBytes   988 Kbits/sec   6.144 ms  132/  216 (61%)
[  3]  3.0- 4.0 sec   119 KBytes   976 Kbits/sec   5.492 ms  133/  216 (62%)
[  3]  4.0- 5.0 sec  81.8 KBytes   670 Kbits/sec   6.080 ms  143/  200 (72%)
[  3]  5.0- 6.0 sec   118 KBytes   964 Kbits/sec   5.738 ms  141/  223 (63%)
[  3]  6.0- 7.0 sec   112 KBytes   917 Kbits/sec   6.199 ms  125/  203 (62%)
[  3]  7.0- 8.0 sec   121 KBytes   988 Kbits/sec   5.650 ms  137/  221 (62%)
[  3]  8.0- 9.0 sec   111 KBytes   906 Kbits/sec   6.075 ms  127/  204 (62%)
[  3]  9.0-10.0 sec   121 KBytes   988 Kbits/sec   6.222 ms  140/  224 (62%)
[  3] 10.0-11.0 sec  84.7 KBytes   694 Kbits/sec   2.343 ms  142/  201 (71%)
[  3] 11.0-12.0 sec  73.2 KBytes   600 Kbits/sec  16.444 ms  164/  215 (76%)
[  3] 12.0-13.0 sec  84.7 KBytes   694 Kbits/sec   3.215 ms  152/  211 (72%)
[  3] 13.0-14.0 sec  86.1 KBytes   706 Kbits/sec   2.403 ms  154/  214 (72%)
[  3] 14.0-15.0 sec  84.7 KBytes   694 Kbits/sec   3.081 ms  152/  211 (72%)
[  3] 15.0-16.0 sec  86.1 KBytes   706 Kbits/sec   2.954 ms  154/  214 (72%)
[  3] 16.0-17.0 sec  84.7 KBytes   694 Kbits/sec   2.508 ms  152/  211 (72%)
[  3] 17.0-18.0 sec  86.1 KBytes   706 Kbits/sec   2.189 ms  154/  214 (72%)
[  3] 18.0-19.0 sec  60.3 KBytes   494 Kbits/sec  10.552 ms   98/  140 (70%)
[  3] 19.0-20.0 sec  86.1 KBytes   706 Kbits/sec   2.707 ms  226/  286 (79%)
[  3] 20.0-21.0 sec  84.7 KBytes   694 Kbits/sec   2.363 ms  152/  211 (72%)
[  3] 21.0-22.0 sec  86.1 KBytes   706 Kbits/sec   2.962 ms  154/  214 (72%)
[  3] 22.0-23.0 sec  84.7 KBytes   694 Kbits/sec   5.172 ms  151/  210 (72%)
[  3] 23.0-24.0 sec  86.1 KBytes   706 Kbits/sec   2.519 ms  155/  215 (72%)
[  3] 24.0-25.0 sec  73.2 KBytes   600 Kbits/sec  16.334 ms  160/  211 (76%)
[  3] 25.0-26.0 sec  86.1 KBytes   706 Kbits/sec   3.775 ms  154/  214 (72%)
[  3] 26.0-27.0 sec  84.7 KBytes   694 Kbits/sec   2.590 ms  152/  211 (72%)
[  3] 27.0-28.0 sec  86.1 KBytes   706 Kbits/sec   2.514 ms  154/  214 (72%)
[  3] 28.0-29.0 sec  84.7 KBytes   694 Kbits/sec   2.453 ms  152/  211 (72%)
[  3] 29.0-30.0 sec  87.6 KBytes   717 Kbits/sec   2.535 ms  153/  214 (71%)
[  3] 30.0-31.0 sec  84.7 KBytes   694 Kbits/sec   2.305 ms  152/  211 (72%)
[  3] 31.0-32.0 sec  86.1 KBytes   706 Kbits/sec   2.309 ms  154/  214 (72%)
[  3] 32.0-33.0 sec  84.7 KBytes   694 Kbits/sec   2.058 ms  152/  211 (72%)
[  3] 33.0-34.0 sec  86.1 KBytes   706 Kbits/sec   2.294 ms  154/  214 (72%)
[  3] 34.0-35.0 sec  84.7 KBytes   694 Kbits/sec   2.652 ms  152/  211 (72%)
[  3] 35.0-36.0 sec  86.1 KBytes   706 Kbits/sec   2.881 ms  154/  214 (72%)
[  3] 36.0-37.0 sec  84.7 KBytes   694 Kbits/sec   2.625 ms  152/  211 (72%)
[  3] 37.0-38.0 sec  86.1 KBytes   706 Kbits/sec   2.461 ms  154/  214 (72%)
[  3] 38.0-39.0 sec  86.1 KBytes   706 Kbits/sec   2.169 ms  155/  215 (72%)
[  3] 39.0-40.0 sec  84.7 KBytes   694 Kbits/sec   2.541 ms  151/  210 (72%)
[  3] 40.0-41.0 sec  86.1 KBytes   706 Kbits/sec   2.403 ms  154/  214 (72%)
[  3] 41.0-42.0 sec  84.7 KBytes   694 Kbits/sec   2.116 ms  152/  211 (72%)
[  3] 42.0-43.0 sec  86.1 KBytes   706 Kbits/sec   2.713 ms  154/  214 (72%)
[  3] 43.0-44.0 sec  84.7 KBytes   694 Kbits/sec   2.442 ms  152/  211 (72%)
[  3] 44.0-45.0 sec  86.1 KBytes   706 Kbits/sec   2.198 ms  154/  214 (72%)
[  3] 45.0-46.0 sec  77.5 KBytes   635 Kbits/sec  11.894 ms  158/  212 (75%)
[  3] 46.0-47.0 sec  81.8 KBytes   670 Kbits/sec   3.323 ms  155/  212 (73%)
[  3] 47.0-48.0 sec  86.1 KBytes   706 Kbits/sec   2.646 ms  154/  214 (72%)
[  3] 48.0-49.0 sec  83.3 KBytes   682 Kbits/sec   5.205 ms  152/  210 (72%)
[  3] 49.0-50.0 sec  86.1 KBytes   706 Kbits/sec   2.176 ms  154/  214 (72%)
[  3] 50.0-51.0 sec  84.7 KBytes   694 Kbits/sec   2.580 ms  152/  211 (72%)
[  3] 51.0-52.0 sec  86.1 KBytes   706 Kbits/sec   2.781 ms  154/  214 (72%)
[  3] 52.0-53.0 sec  70.3 KBytes   576 Kbits/sec   3.336 ms  126/  175 (72%)
[  3] 53.0-54.0 sec  60.3 KBytes   494 Kbits/sec   4.335 ms  208/  250 (83%)
[  3] 54.0-55.0 sec  84.7 KBytes   694 Kbits/sec   2.506 ms  152/  211 (72%)
[  3]  0.0-55.3 sec  4.77 MBytes   725 Kbits/sec  12.954 ms 8289/11693 (71%)
