------------------------------------------------------------
Server listening on TCP port 80
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  4] local 10.0.0.1 port 80 connected with 10.0.0.4 port 50774
[ ID] Interval       Transfer     Bandwidth
[  4]  0.0- 1.0 sec  8.48 KBytes  69.5 Kbits/sec
[  4]  1.0- 2.0 sec  1.41 KBytes  11.6 Kbits/sec
[  4]  2.0- 3.0 sec  1.41 KBytes  11.6 Kbits/sec
[  4]  3.0- 4.0 sec  4.24 KBytes  34.8 Kbits/sec
[  4]  4.0- 5.0 sec  7.07 KBytes  57.9 Kbits/sec
[  4]  5.0- 6.0 sec  0.00 Bytes  0.00 bits/sec
[  4]  6.0- 7.0 sec  0.00 Bytes  0.00 bits/sec
[  4]  7.0- 8.0 sec  0.00 Bytes  0.00 bits/sec
[  4]  8.0- 9.0 sec  0.00 Bytes  0.00 bits/sec
[  4]  9.0-10.0 sec  7.07 KBytes  57.9 Kbits/sec
[  4]  0.0-10.5 sec   113 KBytes  88.4 Kbits/sec
