Sta 1 -> 4 	   40 MHz	12.37712 Mbit/s	  +136907602.0 		0 		22322 		+1709268.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	12.01648 Mbit/s	  +140773675.0 		0 		22322 		+1759652.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	12.8968 Mbit/s	  +132761339.0 		0 		22322 		+1643788.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	12.50704 Mbit/s	  +134242624.0 		0 		22322 		+1691431.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	12.3368 Mbit/s	  +134571788.0 		0 		22322 		+1720407.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	12.69184 Mbit/s	  +144106307.0 		0 		22322 		+1681579.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	12.51152 Mbit/s	  +136247704.0 		0 		22322 		+1693053.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	11.69056 Mbit/s	  +139366241.0 		0 		22322 		+1816032.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	11.9952 Mbit/s	  +138100518.0 		0 		22322 		+1759856.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	12.57536 Mbit/s	  +134047206.0 		0 		22322 		+1674526.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	12.09152 Mbit/s	  +142990323.0 		0 		22322 		+1746628.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
