Sta 1 -> 4 	   40 MHz	24.86624 Mbit/s	  +4101733.0 		0 		22322 		+447145.0
Sta 2 -> 4 	   40 MHz	24.97824 Mbit/s	  +670433.0 		0 		22322 		+367118.0
Sta 1 -> 4 	   40 MHz	24.90096 Mbit/s	  +5160128.0 		0 		22322 		+446459.0
Sta 2 -> 4 	   40 MHz	24.99392 Mbit/s	  +683039.0 		0 		22322 		+370323.0
Sta 1 -> 4 	   40 MHz	24.82704 Mbit/s	  +7234190.0 		0 		22322 		+453462.0
Sta 2 -> 4 	   40 MHz	24.9872 Mbit/s	  +662751.0 		0 		22322 		+366423.0
Sta 1 -> 4 	   40 MHz	24.88752 Mbit/s	  +4586252.0 		0 		22322 		+436694.0
Sta 2 -> 4 	   40 MHz	24.99056 Mbit/s	  +657658.0 		0 		22322 		+365830.0
Sta 1 -> 4 	   40 MHz	24.892 Mbit/s	  +9028125.0 		0 		22322 		+500292.0
Sta 2 -> 4 	   40 MHz	24.97376 Mbit/s	  +690184.0 		0 		22322 		+370075.0
Sta 1 -> 4 	   40 MHz	24.89872 Mbit/s	  +4559418.0 		0 		22322 		+446941.0
Sta 2 -> 4 	   40 MHz	24.976 Mbit/s	  +667308.0 		0 		22322 		+365354.0
Sta 1 -> 4 	   40 MHz	24.8864 Mbit/s	  +5725193.0 		0 		22322 		+466749.0
Sta 2 -> 4 	   40 MHz	24.98608 Mbit/s	  +676109.0 		0 		22322 		+367643.0
Sta 1 -> 4 	   40 MHz	24.90096 Mbit/s	  +6843589.0 		0 		22322 		+460545.0
Sta 2 -> 4 	   40 MHz	24.9984 Mbit/s	  +664569.0 		0 		22322 		+367252.0
Sta 1 -> 4 	   40 MHz	24.89648 Mbit/s	  +5871256.0 		0 		22322 		+461361.0
Sta 2 -> 4 	   40 MHz	24.97936 Mbit/s	  +662920.0 		0 		22322 		+366761.0
Sta 1 -> 4 	   40 MHz	24.87072 Mbit/s	  +6916101.0 		0 		22322 		+478674.0
Sta 2 -> 4 	   40 MHz	24.9928 Mbit/s	  +680279.0 		0 		22322 		+370082.0
Sta 1 -> 4 	   40 MHz	24.88304 Mbit/s	  +6455024.0 		0 		22322 		+470954.0
Sta 2 -> 4 	   40 MHz	24.96928 Mbit/s	  +682755.0 		0 		22322 		+372160.0
