Sta 1 -> 4 	   40 MHz	24.9592 Mbit/s	  +2158932.0 		0 		22301 		+497897.0
Sta 2 -> 4 	   40 MHz	24.97936 Mbit/s	  +0.0 		0 		22303 		+0.0
Sta 1 -> 4 	   40 MHz	24.97264 Mbit/s	  +0.0 		0 		22297 		+0.0
Sta 2 -> 4 	   40 MHz	24.93792 Mbit/s	  +2175472.0 		0 		22287 		+494392.0
Sta 1 -> 4 	   40 MHz	24.98384 Mbit/s	  +0.0 		0 		22307 		+0.0
Sta 2 -> 4 	   40 MHz	24.91888 Mbit/s	  +2290936.0 		0 		22275 		+499531.0
Sta 1 -> 4 	   40 MHz	24.92896 Mbit/s	  +2155828.0 		0 		22282 		+495651.0
Sta 2 -> 4 	   40 MHz	24.9816 Mbit/s	  +0.0 		0 		22305 		+0.0
Sta 1 -> 4 	   40 MHz	24.96816 Mbit/s	  +0.0 		0 		22293 		+0.0
Sta 2 -> 4 	   40 MHz	24.96816 Mbit/s	  +2247738.0 		0 		22302 		+494612.0
Sta 1 -> 4 	   40 MHz	24.98272 Mbit/s	  +0.0 		0 		22306 		+0.0
Sta 2 -> 4 	   40 MHz	24.96928 Mbit/s	  +2257382.0 		0 		22311 		+498707.0
Sta 1 -> 4 	   40 MHz	24.97376 Mbit/s	  +2225310.0 		0 		22304 		+498659.0
Sta 2 -> 4 	   40 MHz	24.9368 Mbit/s	  +0.0 		0 		22265 		+0.0
Sta 1 -> 4 	   40 MHz	24.99056 Mbit/s	  +0.0 		0 		22313 		+0.0
Sta 2 -> 4 	   40 MHz	24.96144 Mbit/s	  +2295140.0 		0 		22299 		+497840.0
Sta 1 -> 4 	   40 MHz	24.96032 Mbit/s	  +0.0 		0 		22286 		+0.0
Sta 2 -> 4 	   40 MHz	24.95248 Mbit/s	  +2200694.0 		0 		22283 		+498939.0
Sta 1 -> 4 	   40 MHz	24.92672 Mbit/s	  +2167350.0 		0 		22282 		+498189.0
Sta 2 -> 4 	   40 MHz	24.97152 Mbit/s	  +0.0 		0 		22296 		+0.0
Sta 1 -> 4 	   40 MHz	24.94464 Mbit/s	  +2065306.0 		0 		22295 		+489474.0
Sta 2 -> 4 	   40 MHz	24.98272 Mbit/s	  +0.0 		0 		22306 		+0.0
