Sta 1 -> 4 	   40 MHz	24.9648 Mbit/s	  +496475.0 		0 		22301 		+328508.0
Sta 2 -> 4 	   40 MHz	24.95808 Mbit/s	  +522695.0 		0 		22303 		+320736.0
Sta 1 -> 4 	   40 MHz	24.96592 Mbit/s	  +516458.0 		0 		22297 		+326054.0
Sta 2 -> 4 	   40 MHz	24.94464 Mbit/s	  +489076.0 		0 		22287 		+318593.0
Sta 1 -> 4 	   40 MHz	24.97376 Mbit/s	  +529299.0 		0 		22307 		+330215.0
Sta 2 -> 4 	   40 MHz	24.92224 Mbit/s	  +494370.0 		0 		22275 		+320120.0
Sta 1 -> 4 	   40 MHz	24.93232 Mbit/s	  +493828.0 		0 		22282 		+321361.0
Sta 2 -> 4 	   40 MHz	24.9704 Mbit/s	  +519931.0 		0 		22305 		+326439.0
Sta 1 -> 4 	   40 MHz	24.94352 Mbit/s	  +542714.0 		0 		22293 		+337662.0
Sta 2 -> 4 	   40 MHz	24.976 Mbit/s	  +494656.0 		0 		22302 		+316090.0
Sta 1 -> 4 	   40 MHz	24.95472 Mbit/s	  +540710.0 		0 		22306 		+321802.0
Sta 2 -> 4 	   40 MHz	24.976 Mbit/s	  +504117.0 		0 		22311 		+330192.0
Sta 1 -> 4 	   40 MHz	24.97712 Mbit/s	  +479679.0 		0 		22304 		+316869.0
Sta 2 -> 4 	   40 MHz	24.92448 Mbit/s	  +516161.0 		0 		22265 		+326799.0
Sta 1 -> 4 	   40 MHz	24.98832 Mbit/s	  +499672.0 		0 		22313 		+322006.0
Sta 2 -> 4 	   40 MHz	24.96256 Mbit/s	  +473910.0 		0 		22299 		+314715.0
Sta 1 -> 4 	   40 MHz	24.94016 Mbit/s	  +551847.0 		0 		22286 		+338366.0
Sta 2 -> 4 	   40 MHz	24.95584 Mbit/s	  +500341.0 		0 		22283 		+319837.0
Sta 1 -> 4 	   40 MHz	24.92672 Mbit/s	  +487327.0 		0 		22282 		+315963.0
Sta 2 -> 4 	   40 MHz	24.9648 Mbit/s	  +526926.0 		0 		22296 		+331766.0
Sta 1 -> 4 	   40 MHz	24.94576 Mbit/s	  +505808.0 		0 		22295 		+325729.0
Sta 2 -> 4 	   40 MHz	24.9536 Mbit/s	  +537224.0 		0 		22306 		+328873.0
